"","year","year_trt","trt","site_name","site_code","block","plot","subplot","mass","category","live"
"56219",2016,1,"NPK+Fence","Slieve Carran","burren.ie",1,6,"B",575.17,"GRAMINOID","1"
"56220",2016,1,"NPK+Fence","Slieve Carran","burren.ie",1,6,"B",1.2,"LEGUME","1"
"56221",2016,1,"NPK+Fence","Slieve Carran","burren.ie",1,6,"B",0,"LITTER","0"
"56222",2016,1,"P","Slieve Carran","burren.ie",1,7,"C",227.8,"FORB","1"
"56223",2016,1,"P","Slieve Carran","burren.ie",1,7,"C",481.52,"GRAMINOID","1"
"56224",2016,1,"P","Slieve Carran","burren.ie",1,7,"C",35.72,"LEGUME","1"
"56225",2016,1,"P","Slieve Carran","burren.ie",1,7,"C",31.57,"LITTER","0"
"56226",2016,1,"N","Slieve Carran","burren.ie",1,8,"C",0.05,"BRYOPHYTE","1"
"56227",2016,1,"N","Slieve Carran","burren.ie",1,8,"C",346.32,"FORB","1"
"56228",2016,1,"N","Slieve Carran","burren.ie",1,8,"C",308.77,"GRAMINOID","1"
"56229",2016,1,"N","Slieve Carran","burren.ie",1,8,"C",40.92,"LEGUME","1"
"56230",2016,1,"N","Slieve Carran","burren.ie",1,8,"C",12.62,"LITTER","0"
"56231",2016,1,"K","Slieve Carran","burren.ie",1,9,"D",0.05,"BRYOPHYTE","1"
"56232",2016,1,"K","Slieve Carran","burren.ie",1,9,"D",102.13,"FORB","1"
"56233",2016,1,"K","Slieve Carran","burren.ie",1,9,"D",332.07,"GRAMINOID","1"
"56234",2016,1,"K","Slieve Carran","burren.ie",1,9,"D",24.27,"LEGUME","1"
"56235",2016,1,"K","Slieve Carran","burren.ie",1,9,"D",3.72,"LITTER","0"
"56236",2016,1,"NPK","Slieve Carran","burren.ie",1,10,"D",217.78,"FORB","1"
"56237",2016,1,"NPK","Slieve Carran","burren.ie",1,10,"D",588.32,"GRAMINOID","1"
"56238",2016,1,"NPK","Slieve Carran","burren.ie",1,10,"D",28.62,"LEGUME","1"
"56239",2016,1,"NPK","Slieve Carran","burren.ie",1,10,"D",55.55,"LITTER","0"
"56240",2016,1,"NPK","Slieve Carran","burren.ie",1,10,"D",0.95,"WOODY","1"
"56241",2016,1,"K","Slieve Carran","burren.ie",2,11,"A",0.5,"BRYOPHYTE","1"
"56242",2016,1,"K","Slieve Carran","burren.ie",2,11,"A",235.83,"FORB","1"
"56243",2016,1,"K","Slieve Carran","burren.ie",2,11,"A",290.62,"GRAMINOID","1"
"56244",2016,1,"K","Slieve Carran","burren.ie",2,11,"A",24.47,"LEGUME","1"
"56245",2016,1,"K","Slieve Carran","burren.ie",2,11,"A",48.82,"LITTER","0"
"56246",2016,1,"NK","Slieve Carran","burren.ie",2,12,"C",0.7,"BRYOPHYTE","1"
"56247",2016,1,"NK","Slieve Carran","burren.ie",2,12,"C",239,"FORB","1"
"56248",2016,1,"NK","Slieve Carran","burren.ie",2,12,"C",502.02,"GRAMINOID","1"
"56249",2016,1,"NK","Slieve Carran","burren.ie",2,12,"C",13.82,"LEGUME","1"
"56250",2016,1,"NK","Slieve Carran","burren.ie",2,12,"C",14.27,"LITTER","0"
"56251",2016,1,"P","Slieve Carran","burren.ie",2,13,"B",91.92,"FORB","1"
"56252",2016,1,"P","Slieve Carran","burren.ie",2,13,"B",364.72,"GRAMINOID","1"
"56253",2016,1,"P","Slieve Carran","burren.ie",2,13,"B",54.4,"LEGUME","1"
"56254",2016,1,"P","Slieve Carran","burren.ie",2,13,"B",10.1,"LITTER","0"
"56255",2016,1,"NPK","Slieve Carran","burren.ie",2,14,"D",0.1,"BRYOPHYTE","1"
"56256",2016,1,"NPK","Slieve Carran","burren.ie",2,14,"D",100.38,"FORB","1"
"56257",2016,1,"NPK","Slieve Carran","burren.ie",2,14,"D",326.87,"GRAMINOID","1"
"56258",2016,1,"NPK","Slieve Carran","burren.ie",2,14,"D",1.42,"LEGUME","1"
"56259",2016,1,"NPK","Slieve Carran","burren.ie",2,14,"D",0,"LITTER","0"
"56260",2016,1,"N","Slieve Carran","burren.ie",2,15,"D",303.57,"FORB","1"
"56261",2016,1,"N","Slieve Carran","burren.ie",2,15,"D",440.12,"GRAMINOID","1"
"56262",2016,1,"N","Slieve Carran","burren.ie",2,15,"D",6.62,"LEGUME","1"
"56263",2016,1,"N","Slieve Carran","burren.ie",2,15,"D",263.97,"LITTER","0"
"56264",2016,1,"N","Slieve Carran","burren.ie",2,15,"D",22.22,"WOODY","1"
"56265",2016,1,"NPK+Fence","Slieve Carran","burren.ie",2,16,"C",113.25,"FORB","1"
"56266",2016,1,"NPK+Fence","Slieve Carran","burren.ie",2,16,"C",671.97,"GRAMINOID","1"
"56267",2016,1,"NPK+Fence","Slieve Carran","burren.ie",2,16,"C",19.32,"LEGUME","1"
"56268",2016,1,"NPK+Fence","Slieve Carran","burren.ie",2,16,"C",23.07,"LITTER","0"
"56269",2016,1,"Control","Slieve Carran","burren.ie",2,17,"B",0.6,"BRYOPHYTE","1"
"56270",2016,1,"Control","Slieve Carran","burren.ie",2,17,"B",120.2,"FORB","1"
"56271",2016,1,"Control","Slieve Carran","burren.ie",2,17,"B",412.92,"GRAMINOID","1"
"56272",2016,1,"Control","Slieve Carran","burren.ie",2,17,"B",14.97,"LEGUME","1"
"56273",2016,1,"Control","Slieve Carran","burren.ie",2,17,"B",17.72,"LITTER","0"
"56274",2016,1,"Fence","Slieve Carran","burren.ie",2,18,"B",153.68,"FORB","1"
"56275",2016,1,"Fence","Slieve Carran","burren.ie",2,18,"B",712.42,"GRAMINOID","1"
"56276",2016,1,"Fence","Slieve Carran","burren.ie",2,18,"B",6.17,"LEGUME","1"
"56277",2016,1,"Fence","Slieve Carran","burren.ie",2,18,"B",0,"LITTER","0"
"56278",2016,1,"NP","Slieve Carran","burren.ie",2,19,"A",178.23,"FORB","1"
"56279",2016,1,"NP","Slieve Carran","burren.ie",2,19,"A",678.02,"GRAMINOID","1"
"56280",2016,1,"NP","Slieve Carran","burren.ie",2,19,"A",9.52,"LEGUME","1"
"56281",2016,1,"NP","Slieve Carran","burren.ie",2,19,"A",28.17,"LITTER","0"
"56282",2016,1,"PK","Slieve Carran","burren.ie",2,20,"A",14.97,"FORB","1"
"56283",2016,1,"PK","Slieve Carran","burren.ie",2,20,"A",589.02,"GRAMINOID","1"
"56284",2016,1,"PK","Slieve Carran","burren.ie",2,20,"A",1,"LEGUME","1"
"56285",2016,1,"PK","Slieve Carran","burren.ie",2,20,"A",256.52,"LITTER","0"
"56286",2016,1,"Fence","Slieve Carran","burren.ie",3,21,"C",6.45,"BRYOPHYTE","1"
"56287",2016,1,"Fence","Slieve Carran","burren.ie",3,21,"C",64.83,"FORB","1"
"56288",2016,1,"Fence","Slieve Carran","burren.ie",3,21,"C",458.92,"GRAMINOID","1"
"56289",2016,1,"Fence","Slieve Carran","burren.ie",3,21,"C",2.4,"LEGUME","1"
"56290",2016,1,"Fence","Slieve Carran","burren.ie",3,21,"C",108.97,"LITTER","0"
"56291",2016,1,"Fence","Slieve Carran","burren.ie",3,21,"C",17.37,"WOODY","1"
"56292",2016,1,"P","Slieve Carran","burren.ie",3,22,"D",0.5,"BRYOPHYTE","1"
"56293",2016,1,"P","Slieve Carran","burren.ie",3,22,"D",87.35,"FORB","1"
"56294",2016,1,"P","Slieve Carran","burren.ie",3,22,"D",383.62,"GRAMINOID","1"
"56295",2016,1,"P","Slieve Carran","burren.ie",3,22,"D",181.97,"LEGUME","1"
"56296",2016,1,"P","Slieve Carran","burren.ie",3,22,"D",146.22,"LITTER","0"
"56297",2016,1,"NPK","Slieve Carran","burren.ie",3,23,"A",0.9,"BRYOPHYTE","1"
"56298",2016,1,"NPK","Slieve Carran","burren.ie",3,23,"A",129.45,"FORB","1"
"56299",2016,1,"NPK","Slieve Carran","burren.ie",3,23,"A",436.97,"GRAMINOID","1"
"56300",2016,1,"NPK","Slieve Carran","burren.ie",3,23,"A",0.5,"LEGUME","1"
"56301",2016,1,"NPK","Slieve Carran","burren.ie",3,23,"A",24.32,"LITTER","0"
"56302",2016,1,"N","Slieve Carran","burren.ie",3,24,"C",5.8,"BRYOPHYTE","1"
"56303",2016,1,"N","Slieve Carran","burren.ie",3,24,"C",104.75,"FORB","1"
"56304",2016,1,"N","Slieve Carran","burren.ie",3,24,"C",656.12,"GRAMINOID","1"
"56305",2016,1,"N","Slieve Carran","burren.ie",3,24,"C",8.12,"LEGUME","1"
"56306",2016,1,"N","Slieve Carran","burren.ie",3,24,"C",22.52,"LITTER","0"
"56307",2016,1,"NP","Slieve Carran","burren.ie",3,25,"D",5.35,"BRYOPHYTE","1"
"56308",2016,1,"NP","Slieve Carran","burren.ie",3,25,"D",107.4,"FORB","1"
"56309",2016,1,"NP","Slieve Carran","burren.ie",3,25,"D",349.17,"GRAMINOID","1"
"56310",2016,1,"NP","Slieve Carran","burren.ie",3,25,"D",5.62,"LEGUME","1"
"56311",2016,1,"NP","Slieve Carran","burren.ie",3,25,"D",12.57,"LITTER","0"
"56312",2016,1,"K","Slieve Carran","burren.ie",3,26,"A",1.5,"BRYOPHYTE","1"
"56313",2016,1,"K","Slieve Carran","burren.ie",3,26,"A",124.3,"FORB","1"
"56314",2016,1,"K","Slieve Carran","burren.ie",3,26,"A",378.22,"GRAMINOID","1"
"56315",2016,1,"K","Slieve Carran","burren.ie",3,26,"A",1.97,"LEGUME","1"
"56316",2016,1,"K","Slieve Carran","burren.ie",3,26,"A",14.82,"LITTER","0"
"56317",2016,1,"K","Slieve Carran","burren.ie",3,26,"A",53.87,"WOODY","1"
"56318",2016,1,"NK","Slieve Carran","burren.ie",3,27,"B",0.7,"BRYOPHYTE","1"
"56319",2016,1,"NK","Slieve Carran","burren.ie",3,27,"B",76.18,"FORB","1"
"56320",2016,1,"NK","Slieve Carran","burren.ie",3,27,"B",313.27,"GRAMINOID","1"
"56321",2016,1,"NK","Slieve Carran","burren.ie",3,27,"B",8.27,"LEGUME","1"
"56322",2016,1,"NK","Slieve Carran","burren.ie",3,27,"B",84.07,"LITTER","0"
"56323",2016,1,"Control","Slieve Carran","burren.ie",3,28,"D",3.25,"BRYOPHYTE","1"
"56324",2016,1,"Control","Slieve Carran","burren.ie",3,28,"D",92.78,"FORB","1"
"56325",2016,1,"Control","Slieve Carran","burren.ie",3,28,"D",384.52,"GRAMINOID","1"
"56326",2016,1,"Control","Slieve Carran","burren.ie",3,28,"D",40.4,"LEGUME","1"
"56327",2016,1,"Control","Slieve Carran","burren.ie",3,28,"D",77.12,"LITTER","0"
"56328",2016,1,"PK","Slieve Carran","burren.ie",3,29,"D",12.3,"BRYOPHYTE","1"
"56329",2016,1,"PK","Slieve Carran","burren.ie",3,29,"D",116.7,"FORB","1"
"56330",2016,1,"PK","Slieve Carran","burren.ie",3,29,"D",223.57,"GRAMINOID","1"
"56331",2016,1,"PK","Slieve Carran","burren.ie",3,29,"D",76.17,"LEGUME","1"
"56332",2016,1,"PK","Slieve Carran","burren.ie",3,29,"D",12.72,"LITTER","0"
